행정구역,총인구수,연령구간인구수,60~69세,70~79세,80~89세,90~99세,100세 이상
세종시,"279,046","39,071","20,943","11,626","5,731",745,26
조치원읍,"45,101","8,862","4,607","2,870","1,223",158,4
연기면,"2,723",840,403,263,156,18,0
연동면,"3,417","1,344",609,399,295,40,1
부강면,"6,462","1,927",871,686,335,34,1
금남면,"9,298","3,365","1,597","1,070",610,85,3
장군면,"6,302","1,826",913,561,324,27,1
연서면,"7,875","2,674","1,241",889,484,58,2
전의면,"6,255","2,051",887,711,396,56,1
전동면,"3,859","1,595",755,484,320,34,2
소정면,"2,799",828,371,280,162,13,2
한솔동,"20,013","1,539",870,450,190,28,1
새롬동,"23,280","1,537","1,053",304,155,25,0
도담동,"32,517","2,794","1,588",779,373,52,2
아름동,"24,409","1,479",918,357,169,34,1
종촌동,"30,500","2,439","1,507",653,244,32,3
고운동,"26,338","2,053","1,414",474,140,24,1
보람동,"27,898","1,918","1,339",396,155,27,1
