행정구역,총인구수,연령구간인구수,60~69세,70~79세,80~89세,90~99세,100세 이상
세종시,"209,946","31,059","15,473","10,283","4,683",608,12
조치원읍,"45,837","7,977","4,058","2,728","1,050",137,4
연기면,"2,505",748,343,255,140,10,0
연동면,"3,689","1,316",562,422,296,36,0
부강면,"6,647","1,794",796,682,287,28,1
금남면,"9,681","3,144","1,441","1,077",555,70,1
장군면,"5,777","1,693",797,587,280,28,1
연서면,"7,637","2,506","1,113",920,412,60,1
전의면,"6,565","2,028",843,750,373,62,0
전동면,"4,034","1,507",680,508,284,33,2
소정면,"2,847",787,332,291,147,16,1
한솔동,"21,201","1,315",735,394,168,18,0
도담동,"29,123","2,375","1,348",662,321,44,0
아름동,"64,403","3,869","2,425","1,007",370,66,1
