행정구역,총인구수,연령구간인구수,60~69세,70~79세,80~89세,90~99세,100세 이상
세종시,"382,844","60,811","35,668","15,662","8,057","1,390",34
조치원읍,"42,153","10,850","5,749","3,122","1,723",249,7
연기면,"2,637",990,548,251,159,30,2
연동면,"2,955","1,523",723,425,303,70,2
부강면,"5,859","2,257","1,149",620,431,57,0
금남면,"8,652","3,863","1,885","1,102",751,123,2
장군면,"6,830","2,293","1,226",620,387,59,1
연서면,"7,195","3,127","1,497",903,635,90,2
전의면,"5,423","2,358","1,108",657,516,75,2
전동면,"3,251","1,740",866,489,319,66,0
소정면,"2,206",887,430,257,177,22,1
한솔동,"18,339","2,110","1,325",533,207,45,0
새롬동,"39,633","3,402","2,334",713,279,72,4
도담동,"35,871","4,118","2,554",975,481,106,2
아름동,"23,455","2,241","1,460",554,192,34,1
종촌동,"28,557","3,558","2,248",909,345,56,0
고운동,"35,054","4,021","2,674","1,016",281,50,0
소담동,"21,430","2,421","1,659",552,175,32,3
보람동,"18,948","2,202","1,514",489,163,36,0
대평동,"11,244","1,450","1,007",289,127,27,0
다정동,"28,451","2,870","1,979",650,198,41,2
