행정구역,총인구수,연령구간인구수,60~69세,70~79세,80~89세,90~99세,100세 이상
세종시,"385,709","63,269","37,106","16,426","8,209","1,489",39
조치원읍,"40,990","11,111","5,850","3,210","1,787",258,6
연기면,"2,469","1,004",537,275,159,31,2
연동면,"2,826","1,516",712,434,292,77,1
부강면,"5,593","2,268","1,147",628,424,69,0
금남면,"8,354","3,923","1,919","1,104",750,145,5
장군면,"6,595","2,349","1,275",631,382,61,0
연서면,"6,888","3,103","1,468",908,635,90,2
전의면,"5,235","2,362","1,120",661,491,87,3
전동면,"3,146","1,753",858,521,310,63,1
소정면,"2,149",916,460,254,166,35,1
한솔동,"18,291","2,260","1,440",553,221,46,0
새롬동,"26,581","2,728","1,872",591,207,55,3
도담동,"25,285","3,616","2,183",908,434,87,4
아름동,"23,559","2,381","1,559",579,207,35,1
종촌동,"28,392","3,707","2,318",979,353,57,0
고운동,"36,172","4,229","2,772","1,089",315,52,1
소담동,"21,900","2,587","1,762",589,204,30,2
보람동,"19,017","2,265","1,555",509,172,29,0
대평동,"11,274","1,565","1,095",323,120,27,0
다정동,"28,646","2,994","2,053",691,202,46,2
,,,,,,,
