행정구역,총인구수,연령구간인구수,60~69세,70~79세,80~89세,90~99세,100세 이상
세종시,"155,274","26,462","12,250","9,619","4,050",529,14
조치원읍,"46,723","7,612","3,792","2,719",977,117,7
연기면,"2,681",775,340,291,129,15,0
연동면,"3,851","1,313",521,466,290,36,0
부강면,"6,715","1,693",729,673,264,26,1
금남면,"9,784","3,039","1,318","1,114",542,63,2
장군면,"5,444","1,592",679,623,263,26,1
연서면,"7,620","2,418","1,022",961,373,61,1
전의면,"6,634","1,994",790,788,364,52,0
전동면,"4,037","1,469",643,530,255,41,0
소정면,"2,905",774,319,307,130,17,1
한솔동,"20,133","1,234",701,371,134,27,1
도담동,"38,747","2,549","1,396",776,329,48,0
