행정구역,총인구수,연령구간인구수,60~69세,70~79세,80~89세,90~99세,100세 이상
세종특별자치시 세종특별자치시 세종특별자치시 (3611000000),"339,434","48,173","27,044","13,348","6,720","1,033",28
조치원읍,"42,952","9,556","4,969","2,980","1,403",197,7
연기면,"2,520",889,449,255,164,20,1
연동면,"3,149","1,426",653,408,311,54,0
부강면,"6,255","2,022",956,650,373,42,1
금남면,"8,682","3,536","1,689","1,112",632,99,4
장군면,"6,180","1,962",990,547,375,49,1
연서면,"7,470","2,802","1,313",886,531,71,1
전의면,"5,761","2,142",927,683,462,68,2
전동면,"3,686","1,695",826,487,335,44,3
소정면,"2,512",873,396,277,184,15,1
한솔동,"19,261","1,745","1,059",456,196,32,2
새롬동,"53,425","3,961","2,755",834,308,63,1
도담동,"31,881","3,053","1,770",816,398,69,0
아름동,"23,554","1,703","1,080",417,168,38,0
종촌동,"29,748","2,827","1,737",758,289,42,1
고운동,"33,312","2,981","2,027",709,201,43,1
소담동,"29,468","2,277","1,592",476,169,39,1
보람동,"19,039","1,700","1,140",394,134,31,1
대평동,"10,579","1,023",716,203,87,17,0
