행정구역,총인구수,연령구간인구수,60~69세,70~79세,80~89세,90~99세,100세 이상
세종시,"121,267","23,620","10,608","9,032","3,505",464,11
조치원읍,"47,070","7,342","3,659","2,683",883,115,2
연기면,"2,779",791,346,307,123,15,0
연동면,"3,883","1,266",473,506,254,33,0
부강면,"6,714","1,618",681,673,240,23,1
금남면,"10,119","2,999","1,276","1,154",504,63,2
장군면,"5,273","1,539",670,607,236,24,2
연서면,"7,656","2,369",986,978,344,59,2
전의면,"6,752","1,958",779,784,356,37,2
전동면,"4,024","1,410",602,529,239,40,0
소정면,"2,927",741,304,300,118,19,0
한솔동,"24,070","1,587",832,511,208,36,0
