행정구역,총인구수,연령구간인구수,60~69세,70~79세,80~89세,90~99세,100세 이상
세종시,"242,038","34,587","18,009","10,710","5,182",661,25
조치원읍,"46,127","8,401","4,344","2,764","1,140",147,6
연기면,"2,681",797,377,259,144,17,0
연동면,"3,585","1,317",586,399,293,38,1
부강면,"6,713","1,845",833,665,320,26,1
금남면,"9,669","3,256","1,540","1,052",582,78,4
장군면,"6,261","1,756",852,583,293,26,2
연서면,"7,911","2,597","1,190",901,445,59,2
전의면,"6,427","2,059",877,727,389,66,0
전동면,"3,952","1,546",718,484,312,28,4
소정면,"2,845",801,348,277,159,15,2
한솔동,"34,270","2,259","1,407",569,251,32,0
도담동,"31,291","2,568","1,471",714,336,47,0
아름동,"50,704","3,264","2,182",741,284,55,2
종촌동,"29,602","2,121","1,284",575,234,27,1
